"rmse" "theta" "estimator" "model" "samplesize"
0.246499223774299 0.1 "A" "Model I" "n=1000"
0.299848204106092 0.2 "A" "Model I" "n=1000"
0.445954394340515 0.3 "A" "Model I" "n=1000"
0.416067208861932 0.4 "A" "Model I" "n=1000"
0.587106096977368 0.5 "A" "Model I" "n=1000"
0.647316090669483 0.6 "A" "Model I" "n=1000"
0.858313559694216 0.7 "A" "Model I" "n=1000"
0.851736863376573 0.8 "A" "Model I" "n=1000"
1.09719676636159 0.9 "A" "Model I" "n=1000"
0.251374748721719 0.1 "B" "Model I" "n=1000"
0.395955649437383 0.2 "B" "Model I" "n=1000"
0.343789567844942 0.3 "B" "Model I" "n=1000"
0.5897414366249 0.4 "B" "Model I" "n=1000"
0.529891589237377 0.5 "B" "Model I" "n=1000"
0.720071394136175 0.6 "B" "Model I" "n=1000"
0.889286150364205 0.7 "B" "Model I" "n=1000"
0.937670671381056 0.8 "B" "Model I" "n=1000"
1.00110674463212 0.9 "B" "Model I" "n=1000"
0.174587248964235 0.1 "A" "Model II" "n=1000"
0.267161007691175 0.2 "A" "Model II" "n=1000"
0.309650270501152 0.3 "A" "Model II" "n=1000"
0.523789507802576 0.4 "A" "Model II" "n=1000"
0.692289458354935 0.5 "A" "Model II" "n=1000"
0.730992101924494 0.6 "A" "Model II" "n=1000"
0.802058398304507 0.7 "A" "Model II" "n=1000"
0.830019642133266 0.8 "A" "Model II" "n=1000"
1.07408957607113 0.9 "A" "Model II" "n=1000"
0.202888335566968 0.1 "B" "Model II" "n=1000"
0.20172958271578 0.2 "B" "Model II" "n=1000"
0.30383895309642 0.3 "B" "Model II" "n=1000"
0.428902380308136 0.4 "B" "Model II" "n=1000"
0.561006350954995 0.5 "B" "Model II" "n=1000"
0.765131372539327 0.6 "B" "Model II" "n=1000"
0.800468928460032 0.7 "B" "Model II" "n=1000"
0.960714525170624 0.8 "B" "Model II" "n=1000"
0.91212799642235 0.9 "B" "Model II" "n=1000"
0.285591027280316 0.1 "A" "Model III" "n=1000"
0.361635710205883 0.2 "A" "Model III" "n=1000"
0.315762667963281 0.3 "A" "Model III" "n=1000"
0.520185656333342 0.4 "A" "Model III" "n=1000"
0.642955976119265 0.5 "A" "Model III" "n=1000"
0.702769130654633 0.6 "A" "Model III" "n=1000"
0.844023300986737 0.7 "A" "Model III" "n=1000"
0.949989253981039 0.8 "A" "Model III" "n=1000"
0.919128104764968 0.9 "A" "Model III" "n=1000"
0.179565173014998 0.1 "B" "Model III" "n=1000"
0.258893080614507 0.2 "B" "Model III" "n=1000"
0.423450733115897 0.3 "B" "Model III" "n=1000"
0.594854825455695 0.4 "B" "Model III" "n=1000"
0.623642407590523 0.5 "B" "Model III" "n=1000"
0.704273838689551 0.6 "B" "Model III" "n=1000"
0.880500759184361 0.7 "B" "Model III" "n=1000"
0.927490886533633 0.8 "B" "Model III" "n=1000"
1.07286022659391 0.9 "B" "Model III" "n=1000"
